23 37045 37065 37078 320094 320392 565 540 541 0
23 38265 38269 38287 331127 331317 562 558 552 0
23 38619 38623 38641 334098 334288 562 558 552 0
23 38974 38978 38996 337101 337291 562 558 552 0
23 39328 39332 39350 340095 340285 562 558 552 0
23 45117 45121 45152 389396 389693 562 558 530 0
23 55755 55759 55790 479606 479903 562 558 530 0
23 66400 66404 66435 569645 569942 562 558 530 0
23 77038 77042 77073 659620 659917 562 558 530 0
24 1035 1044 1056 10357 10549 561 549 550 0
24 18260 18269 18281 157974 158166 561 549 550 0
24 18301 18305 18317 158336 158492 561 549 550 0
24 18383 18388 18400 159066 159230 561 549 550 0
24 36390 36394 36404 313701 313826 561 558 525 0
24 37045 37065 37078 320094 320392 565 540 541 0
25 1035 1044 1056 10357 10549 561 549 550 0
25 18260 18269 18281 157974 158166 561 549 550 0
25 18301 18305 18317 158336 158492 561 549 550 0
25 18383 18388 18400 159066 159230 561 549 550 0
25 36404 36408 36418 313815 313940 561 558 525 0
25 37059 37079 37092 320208 320506 565 540 541 0
26 1035 1044 1056 10357 10549 561 549 550 0
26 18260 18269 18281 157974 158166 561 549 550 0
26 18301 18305 18317 158336 158492 561 549 550 0
26 18383 18388 18400 159066 159230 561 549 550 0
26 36439 36443 36457 314111 314270 561 558 525 0
26 37155 37175 37188 321030 321328 565 540 541 0
26 38397 38401 38423 332248 332472 562 558 552 0
26 38792 38796 38818 335563 335787 562 558 552 0
26 39189 39193 39215 338920 339144 562 558 552 0
26 39584 39588 39610 342259 342483 562 558 552 0
26 45393 45397 45428 391728 392025 562 558 530 0
26 56031 56035 56066 481938 482235 562 558 530 0
26 66676 66680 66711 571977 572274 562 558 530 0
26 77314 77318 77349 661952 662249 562 558 530 0
27 1035 1044 1056 10357 10549 561 549 550 0
27 18260 18269 18281 157974 158166 561 549 550 0
27 18301 18305 18317 158336 158492 561 549 550 0
27 18383 18388 18400 159066 159230 561 549 550 0
27 36439 36443 36457 314111 314270 561 558 525 0
27 37155 37175 37188 321030 321328 565 540 541 0
28 1035 1044 1056 10357 10549 561 549 550 0
28 18260 18269 18281 157974 158166 561 549 550 0
28 18301 18305 18317 158336 158492 561 549 550 0
28 18383 18388 18400 159066 159230 561 549 550 0
28 36453 36457 36471 314225 314384 561 558 525 0
28 37169 37189 37202 321144 321442 565 540 541 0
29 1035 1044 1056 10357 10549 561 549 550 0
29 18260 18269 18281 157974 158166 561 549 550 0
29 18301 18305 18317 158336 158492 561 549 550 0
29 18383 18388 18400 159066 159230 561 549 550 0
29 36488 36492 36506 314521 314680 561 558 525 0
29 37265 37285 37298 321966 322264 565 540 541 0
29 38529 38533 38555 333368 333592 562 558 552 0
29 38966 38970 38992 337035 337259 562 558 552 0
29 39405 39409 39431 340746 340970 562 558 552 0
29 39842 39846 39868 344439 344663 562 558 552 0
29 45649 45653 45690 393890 394237 562 558 530 0
29 56246 56250 56287 483755 484102 562 558 530 0
29 66849 66853 66890 573441 573788 562 558 530 0
29 77446 77450 77487 663072 663419 562 558 530 0
30 1035 1044 1056 10357 10549 561 549 550 0
30 18260 18269 18281 157974 158166 561 549 550 0
30 18301 18305 18317 158336 158492 561 549 550 0
30 18383 18388 18400 159066 159230 561 549 550 0
30 36488 36492 36506 314521 314680 561 558 525 0
30 37265 37285 37298 321966 322264 565 540 541 0
31 1035 1044 1056 10357 10549 561 549 550 0
31 18260 18269 18281 157974 158166 561 549 550 0
31 18301 18305 18317 158336 158492 561 549 550 0
31 18383 18388 18400 159066 159230 561 549 550 0
31 36502 36506 36520 314635 314794 561 558 525 0
31 37279 37299 37312 322080 322378 565 540 541 0
32 1035 1044 1056 10357 10549 561 549 550 0
32 18260 18269 18281 157974 158166 561 549 550 0
32 18301 18305 18317 158336 158492 561 549 550 0
32 18383 18388 18400 159066 159230 561 549 550 0
32 36537 36541 36559 314931 315124 561 558 525 0
32 37375 37395 37408 322902 323200 565 540 541 0
32 38661 38665 38691 334489 334747 562 558 552 0
32 39139 39143 39169 338500 338758 562 558 552 0
32 39620 39624 39650 342565 342823 562 558 552 0
32 40098 40102 40128 346603 346861 562 558 552 0
32 45903 45907 45941 396036 396358 562 558 530 0
32 56457 56461 56495 485538 485860 562 558 530 0
32 67018 67022 67056 574873 575195 562 558 530 0
32 77572 77576 77610 664144 664466 562 558 530 0
33 1035 1044 1056 10357 10549 561 549 550 0
33 18260 18269 18281 157974 158166 561 549 550 0
33 18301 18305 18317 158336 158492 561 549 550 0
33 18383 18388 18400 159066 159230 561 549 550 0
33 36537 36541 36559 314931 315124 561 558 525 0
33 37375 37395 37408 322902 323200 565 540 541 0
34 1035 1044 1056 10357 10549 561 549 550 0
34 18260 18269 18281 157974 158166 561 549 550 0
34 18301 18305 18317 158336 158492 561 549 550 0
34 18383 18388 18400 159066 159230 561 549 550 0
34 36551 36555 36573 315045 315238 561 558 525 0
34 37389 37409 37422 323016 323314 565 540 541 0
35 1035 1044 1056 10357 10549 561 549 550 0
35 18260 18269 18281 157974 158166 561 549 550 0
35 18301 18305 18317 158336 158492 561 549 550 0
35 18383 18388 18400 159066 159230 561 549 550 0
35 36586 36590 36604 315341 315500 561 558 525 0
